country code,place name,admin code1,admin name1,Latitude,Longitude,,,Nom_fr
CA,Seal River,PE,Prince Edward Island,46.235164,-62.545934,,,Seal River
CA,Cardigan,PE,Prince Edward Island,46.236889,-62.623116,,,Cardigan
CA,Brudenell,PE,Prince Edward Island,46.18619,-62.650109,,,Brudenell
CA,New Perth,PE,Prince Edward Island,46.211374,-62.703296,,,New Perth
CA,Pooles Corner,PE,Prince Edward Island,46.209627,-62.650308,,,Pooles Corner
CA,Lower Montague,PE,Prince Edward Island,46.166977,-62.571725,,,Lower Montague
CA,Lorne Valley,PE,Prince Edward Island,46.270291,-62.698213,,,Lorne Valley
CA,St. Peters Bay,PE,Prince Edward Island,46.41341,-62.578752,,,St. Peters Bay
CA,Peakes,PE,Prince Edward Island,46.298043,-62.778543,,,Peakes
CA,St. Margarets,PE,Prince Edward Island,46.455165,-62.384948,,,St. Margarets
CA,Cable Head East,PE,Prince Edward Island,46.466827,-62.573427,,,Cable Head East
CA,Bristol,PE,Prince Edward Island,46.415185,-62.729079,,,Bristol
CA,West St. Peters,PE,Prince Edward Island,46.411948,-62.776422,,,West St. Peters
CA,Commercial Cross,PE,Prince Edward Island,46.126604,-62.630711,,,Commercial Cross
CA,Pisquid,PE,Prince Edward Island,46.337969,-62.856041,,,Pisquid
CA,Murray River,PE,Prince Edward Island,46.011098,-62.614456,,,Murray River
CA,Beach Point,PE,Prince Edward Island,46.01166,-62.49206,,,Beach Point
CA,Murray Harbour North,PE,Prince Edward Island,46.054558,-62.485321,,,Murray Harbour North
CA,Alliston,PE,Prince Edward Island,46.057392,-62.606194,,,Alliston
CA,Cambridge,PE,Prince Edward Island,46.073639,-62.525077,,,Cambridge
CA,Sturgeon,PE,Prince Edward Island,46.108642,-62.529157,,,Sturgeon
CA,Kilmuir,PE,Prince Edward Island,46.119345,-62.666017,,,Kilmuir
CA,Peters Road,PE,Prince Edward Island,46.065823,-62.563402,,,Peters Road
CA,High Bank,PE,Prince Edward Island,45.964964,-62.622709,,,High Bank
CA,Abney,PE,Prince Edward Island,45.994543,-62.569043,,,Abney
